#Question|Class|WH|WH-Bigram|WH-POS|WH-NBOR-POS
Which French monarch reinstated the divine right of the monarchy to France and was known as `The Sun King' because of the splendour of his reign? |P|Which|Which French|WDT|NNP
The `Wicked Bible', printed in 1631, became so called because the word `not' was omitted from which of the Ten Commandments? |A||||
Which eponymous hero of a work first published in 1902 was warned of the dangers lurking in a nearby garden with the words `Your father had an accident there; he was put in a pie by Mr. McGregor'? |P|Which|Which eponymous|WDT|JJ
Which European patron saint was once a ruler of Bohemia and has given his name to a Square in Prague? |P|Which|Which European|WDT|JJ
Which Italian term describes a virtuoso passage, usually for a solo instrument near the end of a concerto, originally intended to have an improvisatory character. |X|Which|Which Italian|WDT|JJ
Which boxer, representing Canada, won the 1988 Olympic Super-Heavyweight Gold Medal, defeating Riddick Bowe of the USA in the final? |P|Which|Which boxer|WDT|NN
Which competition was won by Eimear Quinn with `The Voice' in 1996, this being the fourth win in five years for her country? |X|Which|Which competition|WDT|NN
Which battle, whose 250th anniversary was celebrated in April 1996, was fought on a part of Drummossie Muir whose name translates from the Gaelic as `stinking bog'? |X|Which|Which battle|WDT|NN
Which fibre is produced from two species of of Corchorus plant, was first exported to the west from India in in the 1790s and from 1822 was manufactured commercially into yarn in Dundee? |X|Which|Which fibre|WDT|NN
Which Jane Austen heroine was told by her father, ``Your mother will never see you again if you do not marry Mr. Collins, and I will never see you again if you do.''? |P|Which|Which Jane|WDT|NNP
Strenuous exercise can cause a build-up of which acid in the muscles. |X||||
Which commission was established in 1948 but adopted its present name in 1973 under the Fair Trading Act and has embraced the Competition Act since 1980? |O|Which|Which commission|WDT|NN
Which performing arts complex was opened was opened in 1973 and was reported by National Geographic magazine as having had its roofline variously described as clam shells, full blown sails or a huddle of nuns in a high wind? |X|Which|Which performing|WDT|VBG
In chemistry, which organic compounds are characterised by the functional group COOH? |X||||
Which British physicist, whose four equations form a complete description of the inter-relation of electric and magnetic fields, gave his name to the c.g.s. unit of magnetic flux? |P|Which|Which British|WDT|JJ
Who became Governor of Hong Kong after he lost his position as MP for Bath in the 1992 General Election? |P|Who|Who became|WP|VBD
From 1955 to 1957, the English soldier and field marshall Sir John Harding was Governor-General of which island during the terrorist campaign against its British administration? |L||||
What name is given to the popular Greek spirit flavoured with aniseed? |X|What|What name|WP|NN
